id,timestamp,value1,value2,value3,category,correlated_value1,correlated_value2,extra_column
28,1577836800,0.001434785058550663,-0.34634944611372803,0.17810791906153728,A,-0.24073614330169787,0.45139863369154065,-0.04470769000432261
5,1577840400,-0.34280163152513954,0.2525249046666786,-1.091640151620358,B,-0.6275546444111265,-0.38563891976396475,-0.5778523473862022
74,1577844000,-1.6400977978842282,,1.1801665473971088,D,-3.2748873536097554,,-0.6759541636284516
90,1577847600,0.6057078853672605,,0.1661783264615094,B,1.2402764055027582,,-1.556644281115126
54,1577851200,-0.6317994791058111,-1.6127125018782718,-2.202915675062256,A,-1.3712049736179281,2.4503130338847607,0.3254596858368364
14,1577854800,-1.7186219162396459,,1.3841053439591504,B,-3.599102432276756,,1.7786243845691425
82,1577858400,0.32810764705297907,0.5290671717714367,0.052631870069878954,B,0.5286997421954359,-0.8501030473554858,-0.692361978616843
98,1577862000,0.8383697248250076,-0.34031986408198883,0.9020226424515246,A,1.937065148406298,0.4568734588370571,-0.7954397190666587
72,1577865600,,1.244445437598245,-0.7531041140261138,A,,-1.7393206027969508,-1.3969339855471046
87,1577869200,-0.13344687390354518,-2.793454094375302,0.11913111774882398,A,-0.2957031728555009,4.422936659582089,0.09278213803492812
7,1577872800,0.582123432317041,,-0.2841911904097177,B,1.1159097529374606,,0.6652038692833583
82,1577876400,-1.05168161454394,0.7521921021625096,1.0396364624864667,C,-2.1129776310823534,-0.9947836573659762,-0.7920659395890994
88,1577880000,-0.14425712250410555,-0.4729998078840108,0.9311881522646813,D,-0.43943728704727014,0.6927769491411224,-1.7875536106572048
73,1577883600,0.4451258292655745,0.9726622952037504,-0.406163658726838,A,0.8772825209056188,-1.5277642634738604,1.4573970436094539
82,1577887200,-0.22755030115845273,-1.9648448486677466,0.4597554257885396,D,-0.5563617186834757,2.8783661828443363,-0.14177636695747337
46,1577890800,1.3703269796487783,1.0509953363635611,0.3973099760093973,A,2.678560393507274,-1.5787873292089656,-0.2545940862182022
95,1577894400,0.11176519876571424,0.061957735383837205,-0.7899594233625663,B,0.20427111639045215,-0.06620641527318781,-0.25576047650523176
43,1577898000,-0.1879417752094706,-1.013942224907671,0.8601938109873462,C,-0.3831895785446804,1.458453897288162,-0.07517096646101466
28,1577901600,0.08031726127960764,2.0583824657384513,0.5496761443488487,B,0.25230463284431087,-3.091493518474826,1.2535079675830203
